1,1,1,CONVERT(datetime,2015-07-30 15:26:28.000,121
1,1,2,CONVERT(datetime,2015-07-30 15:26:57.000,121
1,1,3,CONVERT(datetime,2015-07-30 15:27:28.000,121
1,1,4,CONVERT(datetime,2015-07-30 15:27:57.000,121
1,1,5,CONVERT(datetime,2015-07-30 15:28:03.000,121
1,1,6,CONVERT(datetime,2015-07-30 15:28:27.000,121
1,1,7,CONVERT(datetime,2015-07-30 15:28:30.000,121
1,1,8,CONVERT(datetime,2015-07-30 15:28:32.000,121
1,1,9,CONVERT(datetime,2015-07-30 15:28:35.000,121
1,1,10,CONVERT(datetime,2015-07-30 15:28:48.000,121
1,1,11,CONVERT(datetime,2015-07-30 15:28:56.000,121
1,1,12,CONVERT(datetime,2015-07-30 15:29:04.000,121
1,1,13,CONVERT(datetime,2015-07-30 15:29:18.000,121
1,1,14,CONVERT(datetime,2015-07-30 15:29:21.000,121
